,,All,All,All,All,All,N,N,N,N,N,S,S,S,S,S,V,V,V,V,V,F,F,F,F,F,Q,Q,Q,Q,Q
,,ACC,PPV,TPR,F1,support,ACC,PPV,TPR,F1,support,ACC,PPV,TPR,F1,support,ACC,PPV,TPR,F1,support,ACC,PPV,TPR,F1,support,ACC,PPV,TPR,F1,support
,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
test,static,0.9587062972292191,0.5341852321277291,0.635616198924652,0.5732015634617484,9925.0,0.9031738035264484,0.9712076508267087,0.9122488472635109,0.9408053902792697,41857.0,0.9598992443324937,0.5749785775246368,0.5735042734797648,0.5742404292224128,2340.0,0.943697732997481,0.643529076387635,0.9390599001468581,0.763700898956636,4808.0,0.9869420654911839,0.48121085589966484,0.7532679737331262,0.5872610988504237,612.0,0.9998186397984886,0.0,0.0,0.0,8.0
val,static,0.9791442786069651,0.6474490555894349,0.699758954727609,0.6692973952989407,1005.0,0.951044776119403,0.9866888518900241,0.9562312830924619,0.9712212883143201,4341.0,0.9872636815920398,0.7006369422288937,0.8661417316014632,0.7746478373363451,127.0,0.9683582089552238,0.7536231882692712,0.9476082002397247,0.8395559545169927,439.0,0.9892537313432835,0.796296295558985,0.7288135587043953,0.7610618963270454,118.0,0.9998009950248756,0.0,0.0,0.0,0.0
